"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",1,"ABBA",10,20
"2",1,"ABBA",40,657
"3",1,"ABBA",45,1098
"4",1,"ABBA",50,191
"5",1,"BEPA",40,1177
"6",1,"BEPA",45,131
"7",1,"PIGL",25,403
"8",1,"PIGL",30,1064
"9",1,"PIGL",35,147
"10",1,"PIGL",40,201
"11",1,"PIGL",50,338
"12",1,"Shrub",5,20
"13",1,"SODE3",5,20
"14",4,"ABBA",15,85
"15",4,"ABBA",50,326
"16",4,"ABBA",55,222
"17",4,"BEPA",75,1565
"18",4,"PIGL",25,67
"19",4,"PIGL",35,147
"20",4,"PIGL",40,402
"21",4,"PIGL",45,463
"22",4,"Shrub",5,115
"23",4,"SODE3",5,20
"24",5,"ABBA",15,85
"25",5,"ABBA",40,1195
"26",5,"ABBA",45,1398
"27",5,"ABBA",50,576
"28",5,"ABBA",55,222
"29",5,"BEPA",40,256
"30",5,"BEPA",45,449
"31",5,"BEPA",50,635
"32",5,"BEPA",55,559
"33",5,"BEPA",60,440
"34",5,"BEPA",65,551
"35",5,"BEPA",70,677
"36",5,"PIGL",5,20
"37",5,"PIGL",25,134
"38",5,"PIGL",35,271
"39",5,"PIGL",40,173
"40",5,"PIGL",45,264
"41",5,"PIGL",50,600
"42",5,"PIGL",55,422
"43",5,"Shrub",5,20
"44",6,"ABBA",15,20
"45",6,"ALIN2",10,85
"46",6,"BEPA",45,290
"47",6,"BEPA",55,259
"48",6,"BEPA",80,976
"49",6,"PIGL",25,67
"50",6,"PIGL",35,147
"51",6,"PIGL",40,547
"52",6,"PIGL",55,422
"53",6,"PIGL",60,1035
"54",6,"PIGL",65,624
"55",6,"PIGL",70,805
"56",6,"Shrub",5,38
"57",6,"SODE3",10,20
"58",7,"ABBA",15,20
"59",7,"BEPA",75,1638
"60",7,"BEPA",80,976
"61",7,"PIGL",30,205
"62",7,"PIGL",40,201
"63",7,"PIGL",45,794
"64",7,"PIGL",50,1015
"65",7,"POTR5",40,175
"66",7,"POTR5",55,1618
"67",7,"POTR5",60,653
"68",7,"POTR5",65,1698
"69",7,"POTR5",70,1071
"70",7,"POTR5",75,4078
"71",7,"Shrub",5,41
"72",7,"SODE3",10,85
"73",7,"THOC2",25,20
"74",8,"ABBA",15,20
"75",8,"ALIN2",10,688
"76",8,"PIGL",70,871
"77",8,"PIGL",75,1248
"78",8,"Shrub",5,40
"79",8,"SODE3",50,207
"80",8,"SODE3",55,548
"81",9,"ABBA",15,20
"82",9,"ALIN2",5,20
"83",9,"BEPA",45,131
"84",9,"PIGL",10,253
"85",9,"PIGL",35,147
"86",9,"PIGL",45,264
"87",9,"PIGL",50,338
"88",9,"PIGL",55,422
"89",9,"PIGL",60,517
"90",9,"PIGL",65,624
"91",9,"PIGL",70,742
"92",9,"Shrub",5,48
"93",9,"THOC2",55,179
"94",9,"THOC2",90,284
"95",10,"ABBA",15,20
"96",10,"BEPA",40,855
"97",10,"BEPA",45,948
"98",10,"BEPA",50,568
"99",10,"BEPA",60,343
"100",10,"PIGL",10,20
"101",10,"PIGL",45,264
"102",10,"PIST",35,83
"103",10,"PIST",40,338
"104",10,"PIST",45,291
"105",10,"PIST",50,1689
"106",10,"PIST",55,2423
"107",10,"PIST",60,781
"108",10,"Shrub",5,37
"109",10,"THOC2",35,20
"110",11,"ABBA",15,20
"111",11,"ACSP2",5,20
"112",11,"ACSP2",10,85
"113",11,"BEPA",50,223
"114",11,"BEPA",60,343
"115",11,"BEPA",75,1493
"116",11,"BEPA",90,1654
"117",11,"FRNI",50,127
"118",11,"FRNI",60,146
"119",11,"FRNI",65,409
"120",11,"PIGL",10,20
"121",11,"PIGL",30,102
