SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
QURU,2,N,1100,4571,-17,0.2025,1,N,0.249,0.334,0.225,0.303,18.5,58,345,113,32,,
FRNI,2,N,1000,2261,-18,0.0198,1,N,0.144,0.27,0.2018,0.251,22.9,26,189,50,65,,
PIBA2,1,N,830,2216,-30,0.411,3,N,0.266,0.225,0.4,0.204,48.7,43,600,84,55,,
ACSA3,2,N,1222,3100,-18,0.072,1,N,0.175,0.334,0.125,0.312,25.1,26,388,50,55,,
PIMA,1,N,247,1911,-30,0.27,3,N,0.221,0.258,0.4,0.234,62.9,43,439,84,100,,
PIGL,1,N,280,1911,-30,0.2472,3,N,0.249,0.258,0.4,0.234,45.8,43,500,84,55,,
ABBA,1,N,560,2386,-25,0.165,3,N,0.252,0.225,0.312,0.204,35.5,43,482,84,74,,
PIST,1,N,1100,3165,-20,0.372,3,N,0.263,0.225,0.3104,0.204,40.7,43,398,84,55,,
BEAL2,2,N,1100,2500,-18,0.18,1,N,0.219,0.27,0.2018,0.251,21,26,365,50,65,,
POTR5,2,N,743,2461,-30,0.267,1,N,0.256,0.346,0.2,0.318,22.2,25,336,49,65,,
THOC2,1,N,1000,2138,-20,0.315,3,N,0.262,0.225,0.312,0.204,41.8,43,333,84,74,,
BEPA,2,N,484,2036,-28,0.28,1,N,0.201,0.27,0.2018,0.251,23.3,26,384,50,65,,
